# Position, FD Concentration, SPH Concentration
0.000000000000000000e+00,1.928749847963917821e-22,1.928749847963917821e-22
4.008016032064127925e-03,4.262155624196308510e-22,4.198889810426905724e-22
8.016032064128255849e-03,9.358733763691992748e-22,9.087259435080648695e-22
1.202404809619238291e-02,2.041923739488825351e-21,1.954704729777121291e-21
1.603206412825651170e-02,4.426870590145428743e-21,4.179590025324944685e-21
2.004008016032064049e-02,9.536505553786436328e-21,8.886316416323104294e-21
2.404809619238476581e-02,2.041348187620947756e-20,1.879225424125610397e-20
2.805611222444889460e-02,4.341907268456979546e-20,3.954315250216081699e-20
3.206412825651302340e-02,9.176559603456161566e-20,8.274448035355267399e-20
3.607214428857714872e-02,1.927149391789307487e-19,1.721746041683547150e-19
4.008016032064128098e-02,4.021492660431196905e-19,3.562449848207302922e-19
4.408817635270540630e-02,8.338651917489621810e-19,7.329353189343796648e-19
4.809619238476953162e-02,1.718071922231685827e-18,1.499366216051502100e-18
5.210420841683366389e-02,3.517418399157092928e-18,3.049743109611420666e-18
5.611222444889778921e-02,7.155569179301257106e-18,6.167666435562068856e-18
6.012024048096192147e-02,1.446445489616855992e-17,1.240136575938526336e-17
6.412825651302604679e-02,2.905346689548969143e-17,2.479125040462047217e-17
6.813627254509017905e-02,5.798719942066075369e-17,4.927166025084992296e-17
7.214428857715429744e-02,1.150018590559785171e-16,9.735442444637556662e-17
7.615230460921842970e-02,2.266294902368877706e-16,1.912335618954788073e-16
8.016032064128256196e-02,4.437793585786900311e-16,3.734332220850858346e-16
8.416833667334668034e-02,8.634897223591202950e-16,7.249248678614445939e-16
8.817635270541081260e-02,1.669501952774352466e-15,1.398927918434159238e-15
9.218436873747494487e-02,3.207426120940111223e-15,2.683560203697039358e-15
9.619238476953906325e-02,6.123033759734918809e-15,5.117203278774964299e-15
1.002004008016031955e-01,1.161494614612156677e-14,9.699542499478931514e-15
1.042084168336673278e-01,2.189316731723490331e-14,1.827508012651059637e-14
1.082164328657314600e-01,4.100540806038826177e-14,3.422545722802513593e-14
1.122244488977955784e-01,7.631591679812157702e-14,6.371092172833175203e-14
1.162324649298597107e-01,1.411337435910804146e-13,1.178816385989332835e-13
1.202404809619238429e-01,2.593514312936149646e-13,2.167900376745382390e-13
1.242484969939879613e-01,4.735750302955138950e-13,3.962660227549339375e-13
1.282565130260520936e-01,8.592738801964964830e-13,7.199169916431461476e-13
1.322645290581162258e-01,1.549235375497510694e-12,1.299930191241161814e-12
1.362725450901803581e-01,2.775533630187890667e-12,2.332887662136812006e-12
1.402805611222444904e-01,4.941049370506285056e-12,4.161004654928094904e-12
1.442885771543085949e-01,8.740490853945175868e-12,7.376116379614376363e-12
1.482965931863727271e-01,1.536373132160784254e-11,1.299503082514237067e-11
1.523046092184368594e-01,2.683503466090265009e-11,2.275316814704999991e-11
