CMDLINE python3 DataHandiling.py
MEM 8.605469 1696852664.3490
MEM 24.839844 1696852664.4492
MEM 41.398438 1696852664.5495
MEM 53.957031 1696852664.6497
MEM 61.406250 1696852664.7499
MEM 73.601562 1696852664.8501
MEM 81.859375 1696852664.9503
MEM 91.953125 1696852665.0505
MEM 99.214844 1696852665.1507
MEM 105.078125 1696852665.2510
MEM 113.914062 1696852665.3513
MEM 128.605469 1696852665.4515
MEM 143.105469 1696852665.5517
MEM 282.039062 1696852665.6520
MEM 481.585938 1696852665.7523
MEM 679.070312 1696852665.8525
MEM 878.101562 1696852665.9528
MEM 1067.335938 1696852666.0530
MEM 1265.593750 1696852666.1533
MEM 1466.945312 1696852666.2536
MEM 1672.937500 1696852666.3539
MEM 1879.445312 1696852666.4541
MEM 2086.210938 1696852666.5544
MEM 2293.492188 1696852666.6546
MEM 2498.968750 1696852666.7549
MEM 2702.640625 1696852666.8551
MEM 2909.664062 1696852666.9554
MEM 3121.585938 1696852667.0556
MEM 3336.601562 1696852667.1562
MEM 3550.070312 1696852667.2564
MEM 3766.632812 1696852667.3566
MEM 3985.257812 1696852667.4569
MEM 4187.898438 1696852667.5572
MEM 4403.171875 1696852667.6574
MEM 4617.414062 1696852667.7577
MEM 4828.820312 1696852667.8579
MEM 5037.906250 1696852667.9582
MEM 5250.343750 1696852668.0584
MEM 5467.164062 1696852668.1587
MEM 5688.109375 1696852668.2589
MEM 5906.218750 1696852668.3595
MEM 6126.648438 1696852668.4597
MEM 6352.234375 1696852668.5600
MEM 6569.828125 1696852668.6602
MEM 6794.382812 1696852668.7605
MEM 7014.296875 1696852668.8607
MEM 7233.437500 1696852668.9610
MEM 7446.390625 1696852669.0612
MEM 7662.695312 1696852669.1614
MEM 7877.968750 1696852669.2617
MEM 8091.179688 1696852669.3623
MEM 8302.843750 1696852669.4626
MEM 8521.984375 1696852669.5629
MEM 8743.960938 1696852669.6631
MEM 8967.484375 1696852669.7633
MEM 9201.578125 1696852669.8636
MEM 9426.132812 1696852669.9638
MEM 9661.515625 1696852670.0641
MEM 9892.257812 1696852670.1643
MEM 10119.390625 1696852670.2647
MEM 10356.062500 1696852670.3649
MEM 10580.617188 1696852670.4652
MEM 10807.750000 1696852670.5654
MEM 11033.593750 1696852670.6657
MEM 11261.757812 1696852670.7659
MEM 11492.757812 1696852670.8662
MEM 11713.960938 1696852670.9664
MEM 11934.906250 1696852671.0667
MEM 12150.437500 1696852671.1669
MEM 12366.742188 1696852671.2672
MEM 12590.265625 1696852671.3678
MEM 12821.007812 1696852671.4681
MEM 13059.484375 1696852671.5683
MEM 13290.226562 1696852671.6686
MEM 13537.468750 1696852671.7688
MEM 13776.203125 1696852671.8691
MEM 14018.289062 1696852671.9693
MEM 14261.921875 1696852672.0696
MEM 14479.515625 1696852672.1701
MEM 14734.234375 1696852672.2704
MEM 14969.359375 1696852672.3706
MEM 15219.437500 1696852672.4709
MEM 15469.257812 1696852672.5711
MEM 15703.609375 1696852672.6714
MEM 15953.945312 1696852672.7716
MEM 16184.945312 1696852672.8719
MEM 16418.781250 1696852672.9721
MEM 16648.492188 1696852673.0724
MEM 16866.601562 1696852673.1726
MEM 17086.000000 1696852673.2730
MEM 17320.609375 1696852673.3732
MEM 17565.015625 1696852673.4734
MEM 17801.945312 1696852673.5737
MEM 18062.078125 1696852673.6739
MEM 18311.125000 1696852673.7742
MEM 18565.585938 1696852673.8744
MEM 18833.968750 1696852673.9749
MEM 19084.304688 1696852674.0753
MEM 19358.359375 1696852674.1758
MEM 19601.734375 1696852674.2761
MEM 19878.109375 1696852674.3764
MEM 20121.484375 1696852674.4766
MEM 20397.085938 1696852674.5769
MEM 20643.039062 1696852674.6772
MEM 20906.265625 1696852674.7774
MEM 21159.695312 1696852674.8777
MEM 21406.937500 1696852674.9779
MEM 21665.265625 1696852675.0782
MEM 21898.843750 1696852675.1786
MEM 22132.164062 1696852675.2789
MEM 22359.039062 1696852675.3792
MEM 22583.593750 1696852675.4794
MEM 22818.203125 1696852675.5797
MEM 23059.000000 1696852675.6799
MEM 23325.062500 1696852675.7802
MEM 23572.562500 1696852675.8804
MEM 23844.554688 1696852675.9807
MEM 24104.429688 1696852676.0812
MEM 24365.335938 1696852676.1816
MEM 24637.328125 1696852676.2819
MEM 24893.335938 1696852676.3822
MEM 25172.546875 1696852676.4826
MEM 25425.203125 1696852676.5831
MEM 25704.929688 1696852676.6835
MEM 25955.781250 1696852676.7842
MEM 26239.375000 1696852676.8844
MEM 26489.195312 1696852676.9846
MEM 26770.984375 1696852677.0849
MEM 27019.257812 1696852677.1851
MEM 27286.867188 1696852677.2854
MEM 27539.007812 1696852677.3857
MEM 27789.085938 1696852677.4859
MEM 28045.351562 1696852677.5862
MEM 28278.929688 1696852677.6864
MEM 28401.906250 1696852677.7867
MEM 28555.046875 1696852677.8870
MEM 28734.886719 1696852677.9872
MEM 28883.070312 1696852678.0876
MEM 29035.503906 1696852678.1880
MEM 0.000000 1696852679.0985
MEM 0.000000 1696852679.2006
MEM 0.000000 1696852679.3010
MEM 0.000000 1696852679.4012
MEM 0.000000 1696852679.5014
MEM 0.000000 1696852679.6016
MEM 0.000000 1696852679.7019
MEM 0.000000 1696852679.8021
MEM 0.000000 1696852679.9023
